3 River Wireless,sms.3rivers.net,US,false,false,xxxxxxxxxx@sms.3rivers.net
Advantage Communications,advantagepaging.com,US,false,false,xxxxxxxxxx@advantagepaging.com
Airtouch Pagers,airtouch.net,US,false,false,xxxxxxxxxx@airtouch.net
AirVoice,mmode.com,US,false,false,xxxxxxxxxx@mmode.com
AllTel,message.alltel.com,US,true,false,xxxxxxxxxx@message.alltel.com
Alltel PCS,message.alltel.com,US,false,false,xxxxxxxxxx@message.alltel.com
Ameritech Paging,pageapi.com,US,false,false,xxxxxxxxxx@pageapi.com
Arch Pagers (PageNet),archwireless.net,US,false,false,xxxxxxxxxx@archwireless.net
AT&T,txt.att.net,US,true,false,xxxxxxxxxx@txt.att.net
BeeLine GSM,sms.beemail.ru,RU,false,false,xxxxxxxxxx@sms.beemail.ru
Bell Mobility,txt.bell.ca,CA,true,false,xxxxxxxxxx@txt.bell.ca
Bell Mobility 1,txt.bellmobility.ca,US,false,false,xxxxxxxxxx@txt.bellmobility.ca
Bell South,blsdcs.net,US,false,false,xxxxxxxxxx@blsdcs.net
Bell South 1,sms.bellsouth.com,US,false,false,xxxxxxxxxx@sms.bellsouth.com
Bell South 2,wireless.bellsouth.com,US,false,false,xxxxxxxxxx@wireless.bellsouth.com
Bell South 3,bellsouth.cl,CL,false,false,xxxxxxxxxx@bellsouth.cl
Bell South (Blackberry),bellsouthtips.com,US,false,false,xxxxxxxxxx@bellsouthtips.com
Bell South Mobility,blsdcs.net,US,false,false,xxxxxxxxxx@blsdcs.net
Bluegrass Cellular,sms.bluecell.com,US,false,false,xxxxxxxxxx@sms.bluecell.com
Blue Sky Frog,blueskyfrog.com,AU,true,false,xxxxxxxxxx@blueskyfrog.com
Boost,myboostmobile.com,US,false,false,xxxxxxxxxx@myboostmobile.com
Boost Mobile,myboostmobile.com,US,true,false,xxxxxxxxxx@myboostmobile.com
BPL mobile,bplmobile.com,IN,false,false,xxxxxxxxxx@bplmobile.com
Cable and Wireless,cwmovil.com,PA,false,false,xxxxxxxxxx@cwmovil.com
CallPlus,mmode.com,US,false,false,xxxxxxxxxx@mmode.com
Celcom,sms.celcom.com.my,MY,false,false,19xxxxxxxxxx@sms.celcom.com.my
Cellis / LibanCell,ens.jinny.com.lb,LB,false,false,9613xxxxxxxxxx@ens.jinny.com.lb
Cellular One,message.cellone-sf.com,US,false,false,xxxxxxxxxx@message.cellone-sf.com
Cellular One 1,mobile.celloneusa.com,US,false,false,xxxxxxxxxx@mobile.celloneusa.com
Cellular One 2,sbcemail.com,US,false,false,xxxxxxxxxx@sbcemail.com
Cellular One East Coast,phone.cellone.net,US,false,false,xxxxxxxxxx@phone.cellone.net
Cellular One PCS,paging.cellone-sf.com,US,false,false,xxxxxxxxxx@paging.cellone-sf.com
Cellular One South West,swmsg.com,US,false,false,xxxxxxxxxx@swmsg.com
Cellular One West,mycellone.com,US,false,false,xxxxxxxxxx@mycellone.com
Cellular South,csouth1.com,US,false,false,xxxxxxxxxx@csouth1.com
CenturyTel,messaging.centurytel.net,US,false,false,xxxxxxxxxx@messaging.centurytel.net
Chennai RPG Cellular,rpgmail.net,IN,false,false,xxxxxxxxxx@rpgmail.net
Chennai Skycell / Airtel,airtelchennai.com,IN,false,false,xxxxxxxxxx@airtelchennai.com
Cingular,cingularme.com,US,false,false,xxxxxxxxxx@cingularme.com
Cingular (GSM),cingularme.com,US,false,false,xxxxxxxxxx@cingularme.com
Cingular (TDMA),mmode.com,US,false,false,xxxxxxxxxx@mmode.com
Cingular Wireless,mobile.mycingular.net,US,false,false,xxxxxxxxxx@mobile.mycingular.net
Communication Specialists,pageme.comspeco.net,US,false,false,xxxxxxxxxx@pageme.comspeco.net
Comviq GSM,sms.comviq.se,SE,false,false,467xxxxxxxxxx@sms.comviq.se
Cook Paging,cookmail.com,US,false,false,xxxxxxxxxx@cookmail.com
Delhi Aritel,airtelmail.com,IN,false,false,xxxxxxxxxx@airtelmail.com
Delhi Hutch,delhi.hutch.co.in,IN,false,false,xxxxxxxxxx@delhi.hutch.co.in
Dutchtone / Orange-NL,sms.orange.nl,NL,false,false,xxxxxxxxxx@sms.orange.nl
Edge Wireless,sms.edgewireless.com,US,false,false,xxxxxxxxxx@sms.edgewireless.com
E-Plus,eplus.de,DE,false,false,177xxxxxxxxxx.sms@eplus.de
Europolitan,europolitan.se,SE,false,false,4670xxxxxxxxxx@europolitan.se
Fido,fido.ca,CA,true,false,xxxxxxxxxx@fido.ca
Galaxy Corporation,sendabeep.net,US,false,false,xxxxxxxxxx@sendabeep.net
GCS Paging,webpager.us,US,false,false,xxxxxxxxxx@webpager.us
Golden Telecom,sms.goldentele.com,UA,false,false,xxxxxxxxxx@sms.goldentele.com
GrayLink / Porta-Phone,epage.porta-phone.com,US,false,false,xxxxxxxxxx@epage.porta-phone.com
GTE,gte.pagegate.net,US,false,false,xxxxxxxxxx@gte.pagegate.net
GTE 1,messagealert.com,US,false,false,xxxxxxxxxx@messagealert.com
Houston Cellular,text.houstoncellular.net,US,false,false,xxxxxxxxxx@text.houstoncellular.net
Idea Cellular,ideacellular.net,IN,false,false,xxxxxxxxxx@ideacellular.net
Inland Cellular Telephone,inlandlink.com,US,false,false,xxxxxxxxxx@inlandlink.com
JSM Tele-Page,jsmtel.com,US,false,false,xxxxxxxxxx@jsmtel.com
Kyivstar,smsmail.lmt.lv,LV,false,false,xxxxxxxxxx@smsmail.lmt.lv
Kyivstar 1,2sms.kyivstar.net,UA,false,false,xxxxxxxxxx@2sms.kyivstar.net
Lauttamus Communication,e-page.net,US,false,false,xxxxxxxxxx@e-page.net
LMT,smsmail.lmt.lv,LV,false,false,9xxxxxxxxxx@smsmail.lmt.lv
Manitoba Telecom Systems,text.mtsmobility.com,US,false,false,xxxxxxxxxx@text.mtsmobility.com
Mannesmann Mobilefunk,d2-message.de,DE,false,false,xxxxxxxxxx@d2-message.de
MaxMobil,max.mail.at,AT,false,false,xxxxxxxxxx@max.mail.at
MCI,pagemci.com,US,false,false,xxxxxxxxxx@pagemci.com
MCI Phone,mci.com,US,false,false,xxxxxxxxxx@mci.com
Meteor,sms.mymeteor.ie,IE,false,false,xxxxxxxxxx@sms.mymeteor.ie
Metrocall,page.metrocall.com,US,false,false,xxxxxxxxxx@page.metrocall.com
Metrocall 2-way,my2way.com,US,false,false,xxxxxxxxxx@my2way.com
Metro PCS,metropcs.sms.us,US,false,false,xxxxxxxxxx@metropcs.sms.us
Metro PCS 1,mymetropcs.com,US,false,false,xxxxxxxxxx@mymetropcs.com
Microcell,fido.ca,US,false,false,xxxxxxxxxx@fido.ca
Midwest Wireless,clearlydigital.com,US,false,false,xxxxxxxxxx@clearlydigital.com
MiWorld,m1.com.sg,SG,false,false,xxxxxxxxxx@m1.com.sg
Mobilecom PA,page.mobilcom.net,US,false,false,xxxxxxxxxx@page.mobilcom.net
Mobileone,m1.com.sg,SG,false,false,xxxxxxxxxx@m1.com.sg
Mobilfone,page.mobilfone.com,US,false,false,xxxxxxxxxx@page.mobilfone.com
Mobility,ml.bm,BM,false,false,xxxxxxxxxx@ml.bm
Mobistar,mobistar.be,BE,false,false,xxxxxxxxxx@mobistar.be
Mobitel,linux.mobitel.si,SI,false,false,xxxxxxxxxx@linux.mobitel.si
Mobitel 1,sms.co.tz,TZ,false,false,xxxxxxxxxx@sms.co.tz
Morris Wireless,beepone.net,US,false,false,xxxxxxxxxx@beepone.net
Movistar,correo.movistar.net,ES,true,false,0xxxxxxxxxx@correo.movistar.net
MTS,sms.mts.ru,RU,false,false,7xxxxxxxxxx@sms.mts.ru
NBTel,wirefree.informe.ca,US,false,false,xxxxxxxxxx@wirefree.informe.ca
Netcom,sms.netcom.no,NO,false,false,xxxxxxxxxx@sms.netcom.no
Nextel,messaging.nextel.com,US,true,false,xxxxxxxxxx@messaging.nextel.com
Nextel 1,page.nextel.com,US,false,false,xxxxxxxxxx@page.nextel.com
Nextel 2,nextel.com.br,BR,false,false,xxxxxxxxxx@nextel.com.br
NPI Wireless,npiwireless.com,US,false,false,xxxxxxxxxx@npiwireless.com
Ntelos,pcs.ntelos.com,US,false,false,xxxxxxxxxx@pcs.ntelos.com
O2 (M-mail),mmail.co.uk,GB,true,false,xxxxxxxxxx@mmail.co.uk
Omnipoint,omnipoint.com,US,false,false,xxxxxxxxxx@omnipoint.com
Omnipoint 1,omnipointpcs.com,US,false,false,xxxxxxxxxx@omnipointpcs.com
One Connect,onemail.at,AT,false,true,xxxxxxxxxx@onemail.at
OnlineBeep,onlinebeep.net,US,false,false,xxxxxxxxxx@onlinebeep.net
Optimus,sms.optimus.pt,PT,false,false,93xxxxxxxxxx@sms.optimus.pt
